,water,oil,surf
753,0.49,0.42,0.09
754,0.49,0.43,0.08
755,0.49,0.44,0.07
756,0.49,0.45,0.06
757,0.49,0.46,0.05
758,0.49,0.47,0.04
759,0.49,0.48,0.03
760,0.49,0.49,0.02
761,0.49,0.5,0.01
762,0.5,0.06,0.44
763,0.5,0.07,0.43
764,0.5,0.08,0.42
765,0.5,0.09,0.41
766,0.5,0.1,0.4
767,0.5,0.11,0.39
768,0.5,0.12,0.38
769,0.5,0.13,0.37
770,0.5,0.14,0.36
771,0.5,0.15,0.35
772,0.5,0.16,0.34
773,0.5,0.17,0.33
774,0.5,0.18,0.32
775,0.5,0.19,0.31
776,0.5,0.2,0.3
777,0.5,0.21,0.29
778,0.5,0.22,0.28
779,0.5,0.23,0.27
780,0.5,0.26,0.24
781,0.5,0.27,0.23
782,0.5,0.28,0.22
783,0.5,0.29,0.21
784,0.5,0.3,0.2
785,0.5,0.31,0.19
786,0.5,0.32,0.18
787,0.5,0.33,0.17
788,0.5,0.34,0.16
789,0.5,0.35,0.15
790,0.5,0.36,0.14
791,0.5,0.37,0.13
792,0.5,0.38,0.12
793,0.5,0.39,0.11
794,0.5,0.4,0.1
795,0.5,0.41,0.09
796,0.5,0.42,0.08
797,0.5,0.43,0.07
798,0.5,0.44,0.06
799,0.5,0.45,0.05
800,0.5,0.46,0.04
801,0.5,0.47,0.03
802,0.5,0.48,0.02
803,0.5,0.49,0.01
804,0.51,0.05,0.44
805,0.51,0.06,0.43
806,0.51,0.07,0.42
807,0.51,0.08,0.41
808,0.51,0.09,0.4
809,0.51,0.1,0.39
810,0.51,0.11,0.38
811,0.51,0.12,0.37
812,0.51,0.13,0.36
813,0.51,0.14,0.35
814,0.51,0.15,0.34
815,0.51,0.16,0.33
816,0.51,0.17,0.32
817,0.51,0.18,0.31
818,0.51,0.19,0.3
819,0.51,0.2,0.29
820,0.51,0.21,0.28
821,0.51,0.22,0.27
822,0.51,0.23,0.26
823,0.51,0.24,0.25
824,0.51,0.25,0.24
825,0.51,0.26,0.23
826,0.51,0.27,0.22
827,0.51,0.28,0.21
828,0.51,0.29,0.2
829,0.51,0.3,0.19
830,0.51,0.31,0.18
831,0.51,0.32,0.17
832,0.51,0.33,0.16
833,0.51,0.34,0.15
834,0.51,0.35,0.14
835,0.51,0.36,0.13
836,0.51,0.37,0.12
837,0.51,0.38,0.11
838,0.51,0.39,0.1
839,0.51,0.4,0.09
840,0.51,0.41,0.08
841,0.51,0.42,0.07
842,0.51,0.43,0.06
843,0.51,0.44,0.05
844,0.51,0.45,0.04
845,0.51,0.46,0.03
846,0.51,0.47,0.02
847,0.51,0.48,0.01
848,0.52,0.04,0.44
849,0.52,0.05,0.43
850,0.52,0.06,0.42
851,0.52,0.07,0.41
852,0.52,0.08,0.4
853,0.52,0.09,0.39
854,0.52,0.1,0.38
855,0.52,0.11,0.37
856,0.52,0.12,0.36
857,0.52,0.13,0.35
858,0.52,0.14,0.34
859,0.52,0.15,0.33
860,0.52,0.16,0.32
861,0.52,0.17,0.31
862,0.52,0.18,0.3
863,0.52,0.19,0.29
864,0.52,0.2,0.28
865,0.52,0.21,0.27
866,0.52,0.22,0.26
867,0.52,0.23,0.25
868,0.52,0.24,0.24
869,0.52,0.25,0.23
870,0.52,0.26,0.22
871,0.52,0.27,0.21
872,0.52,0.28,0.2
873,0.52,0.29,0.19
874,0.52,0.3,0.18
875,0.52,0.31,0.17
876,0.52,0.32,0.16
877,0.52,0.33,0.15
878,0.52,0.34,0.14
879,0.52,0.35,0.13
880,0.52,0.36,0.12
881,0.52,0.37,0.11
882,0.52,0.38,0.1
883,0.52,0.39,0.09
884,0.52,0.4,0.08
885,0.52,0.41,0.07
886,0.52,0.42,0.06
887,0.52,0.43,0.05
888,0.52,0.44,0.04
889,0.52,0.45,0.03
890,0.52,0.46,0.02
891,0.52,0.47,0.01
892,0.53,0.04,0.43
893,0.53,0.05,0.42
894,0.53,0.06,0.41
895,0.53,0.07,0.4
896,0.53,0.08,0.39
897,0.53,0.09,0.38
898,0.53,0.1,0.37
899,0.53,0.11,0.36
900,0.53,0.12,0.35
901,0.53,0.13,0.34
902,0.53,0.14,0.33
903,0.53,0.15,0.32
904,0.53,0.16,0.31
905,0.53,0.17,0.3
906,0.53,0.18,0.29
907,0.53,0.19,0.28
908,0.53,0.2,0.27
909,0.53,0.21,0.26
910,0.53,0.22,0.25
911,0.53,0.23,0.24
912,0.53,0.24,0.23
913,0.53,0.25,0.22
914,0.53,0.26,0.21
915,0.53,0.27,0.2
916,0.53,0.28,0.19
917,0.53,0.29,0.18
918,0.53,0.3,0.17
919,0.53,0.31,0.16
920,0.53,0.32,0.15
921,0.53,0.33,0.14
922,0.53,0.34,0.13
923,0.53,0.35,0.12
924,0.53,0.36,0.11
925,0.53,0.37,0.1
926,0.53,0.38,0.09
927,0.53,0.39,0.08
928,0.53,0.4,0.07
929,0.53,0.41,0.06
930,0.53,0.42,0.05
931,0.53,0.43,0.04
932,0.53,0.44,0.03
933,0.53,0.45,0.02
934,0.53,0.46,0.01
935,0.54,0.03,0.43
936,0.54,0.04,0.42
937,0.54,0.05,0.41
938,0.54,0.06,0.4
939,0.54,0.07,0.39
940,0.54,0.08,0.38
941,0.54,0.09,0.37
942,0.54,0.1,0.36
943,0.54,0.11,0.35
944,0.54,0.12,0.34
945,0.54,0.13,0.33
946,0.54,0.14,0.32
947,0.54,0.15,0.31
948,0.54,0.16,0.3
949,0.54,0.17,0.29
950,0.54,0.18,0.28
951,0.54,0.19,0.27
952,0.54,0.2,0.26
953,0.54,0.21,0.25
954,0.54,0.22,0.24
955,0.54,0.23,0.23
956,0.54,0.24,0.22
957,0.54,0.25,0.21
958,0.54,0.26,0.2
959,0.54,0.27,0.19
960,0.54,0.28,0.18
961,0.54,0.29,0.17
962,0.54,0.3,0.16
963,0.54,0.31,0.15
964,0.54,0.32,0.14
965,0.54,0.33,0.13
966,0.54,0.34,0.12
967,0.54,0.35,0.11
968,0.54,0.36,0.1
969,0.54,0.37,0.09
970,0.54,0.38,0.08
971,0.54,0.39,0.07
972,0.54,0.4,0.06
973,0.54,0.41,0.05
974,0.54,0.42,0.04
975,0.54,0.43,0.03
976,0.54,0.44,0.02
977,0.54,0.45,0.01
978,0.55,0.02,0.43
979,0.55,0.03,0.42
980,0.55,0.04,0.41
981,0.55,0.05,0.4
982,0.55,0.06,0.39
983,0.55,0.07,0.38
984,0.55,0.08,0.37
985,0.55,0.09,0.36
986,0.55,0.1,0.35
987,0.55,0.11,0.34
988,0.55,0.12,0.33
989,0.55,0.13,0.32
990,0.55,0.14,0.31
991,0.55,0.15,0.3
992,0.55,0.16,0.29
993,0.55,0.17,0.28
994,0.55,0.18,0.27
995,0.55,0.19,0.26
996,0.55,0.2,0.25
