,g,C,ERR
381,0.05,10200,0.18571428571428567
382,0.54,10200,0.18571428571428567
383,1.21,10200,0.18571428571428567
384,1.38,10200,0.18571428571428567
385,0.65,10400,0.18571428571428567
386,1.49,10400,0.18571428571428567
387,0.61,10600,0.18571428571428567
388,0.07,10800,0.18571428571428567
389,0.14,10800,0.18571428571428567
390,0.38,10800,0.18571428571428567
391,0.07,11000,0.18571428571428567
392,0.62,11000,0.18571428571428567
393,0.94,11000,0.18571428571428567
394,0.04,11200,0.18571428571428567
395,0.05,11200,0.18571428571428567
396,0.37,11200,0.18571428571428567
397,0.93,11200,0.18571428571428567
398,0.77,11400,0.18571428571428567
399,1.09,11400,0.18571428571428567
400,0.19,11600,0.18571428571428567
401,0.62,11600,0.18571428571428567
402,1.28,11600,0.18571428571428567
403,0.04,11800,0.18571428571428567
404,0.06,11800,0.18571428571428567
405,0.07,11800,0.18571428571428567
406,0.61,11800,0.18571428571428567
407,1.05,11800,0.18571428571428567
408,1.14,11800,0.18571428571428567
409,0.07,12000,0.18571428571428567
410,0.22,12000,0.18571428571428567
411,0.37,12000,0.18571428571428567
412,0.38,12000,0.18571428571428567
413,0.42,12000,0.18571428571428567
414,0.5,12000,0.18571428571428567
415,0.93,12000,0.18571428571428567
416,0.04,12200,0.18571428571428567
417,0.07,12200,0.18571428571428567
418,0.89,12400,0.18571428571428567
419,1.11,12400,0.18571428571428567
420,1.16,12400,0.18571428571428567
421,0.06,12600,0.18571428571428567
422,0.65,12600,0.18571428571428567
423,0.28,12800,0.18571428571428567
424,0.77,12800,0.18571428571428567
425,1.33,12800,0.18571428571428567
426,1.46,12800,0.18571428571428567
427,0.04,13000,0.18571428571428567
428,0.06,13000,0.18571428571428567
429,0.14,13000,0.18571428571428567
430,0.42,13000,0.18571428571428567
431,0.46,13000,0.18571428571428567
432,0.84,13000,0.18571428571428567
433,0.91,13000,0.18571428571428567
434,0.14,13200,0.18571428571428567
435,1.07,13200,0.18571428571428567
436,1.09,13200,0.18571428571428567
437,1.38,13200,0.18571428571428567
438,0.84,13400,0.18571428571428567
439,1.16,13400,0.18571428571428567
440,0.03,13600,0.18571428571428567
441,0.96,13600,0.18571428571428567
442,1.21,13600,0.18571428571428567
443,0.08,13800,0.18571428571428567
444,0.09,13800,0.18571428571428567
445,0.03,14000,0.18571428571428567
446,0.9,14000,0.18571428571428567
447,1.14,14000,0.18571428571428567
448,1.32,14000,0.18571428571428567
449,0.03,14200,0.18571428571428567
450,0.04,14200,0.18571428571428567
451,0.57,14200,0.18571428571428567
452,0.06,14400,0.18571428571428567
453,0.97,14400,0.18571428571428567
454,0.98,14400,0.18571428571428567
455,1.13,14400,0.18571428571428567
456,0.14,14600,0.18571428571428567
457,0.73,14600,0.18571428571428567
458,0.93,14600,0.18571428571428567
459,1.05,14600,0.18571428571428567
460,1.17,14600,0.18571428571428567
461,0.06,14800,0.18571428571428567
462,0.4,14800,0.18571428571428567
463,0.06,15000,0.18571428571428567
464,0.05,15200,0.18571428571428567
465,0.17,15200,0.18571428571428567
466,0.5,15200,0.18571428571428567
467,0.73,15200,0.18571428571428567
468,0.42,15600,0.18571428571428567
469,0.54,15600,0.18571428571428567
470,1.03,15600,0.18571428571428567
471,0.09,15800,0.18571428571428567
472,0.06,16000,0.18571428571428567
473,0.38,16200,0.18571428571428567
474,0.43,16200,0.18571428571428567
475,0.5,16200,0.18571428571428567
476,0.84,16200,0.18571428571428567
477,1.16,16200,0.18571428571428567
478,1.47,16200,0.18571428571428567
479,0.07,16400,0.18571428571428567
480,0.32,16400,0.18571428571428567
481,0.55,16400,0.18571428571428567
482,0.8,16400,0.18571428571428567
483,0.9,16400,0.18571428571428567
484,0.04,16600,0.18571428571428567
485,0.91,16600,0.18571428571428567
486,0.41,16800,0.18571428571428567
487,0.05,17000,0.18571428571428567
488,0.5,17000,0.18571428571428567
489,0.04,17200,0.18571428571428567
490,0.32,17200,0.18571428571428567
491,0.04,17400,0.18571428571428567
492,0.06,17400,0.18571428571428567
493,0.71,17400,0.18571428571428567
494,0.06,17600,0.18571428571428567
495,0.19,17600,0.18571428571428567
496,0.82,17600,0.18571428571428567
497,0.97,17600,0.18571428571428567
498,0.11,17800,0.18571428571428567
499,0.28,17800,0.18571428571428567
500,0.64,17800,0.18571428571428567
501,0.83,17800,0.18571428571428567
502,1.05,17800,0.18571428571428567
503,0.81,18000,0.18571428571428567
504,0.89,18000,0.18571428571428567
505,0.98,18000,0.18571428571428567
506,1.48,18200,0.18571428571428567
507,0.05,18400,0.18571428571428567
508,0.55,18400,0.18571428571428567
509,0.6,18400,0.18571428571428567
510,0.06,18600,0.18571428571428567
511,0.11,18600,0.18571428571428567
512,0.68,18600,0.18571428571428567
513,1.0,18600,0.18571428571428567
514,1.38,18600,0.18571428571428567
515,0.05,18800,0.18571428571428567
516,0.35,18800,0.18571428571428567
517,0.05,19000,0.18571428571428567
518,0.61,19000,0.18571428571428567
519,0.11,19200,0.18571428571428567
520,0.56,19200,0.18571428571428567
521,0.67,19200,0.18571428571428567
522,0.03,19400,0.18571428571428567
523,0.06,19400,0.18571428571428567
524,0.66,19400,0.18571428571428567
525,0.29,19600,0.18571428571428567
526,0.48,19600,0.18571428571428567
527,1.3,19600,0.18571428571428567
528,0.03,19800,0.18571428571428567
529,0.06,19800,0.18571428571428567
530,0.5,19800,0.18571428571428567
531,0.69,19800,0.18571428571428567
532,1.06,19800,0.18571428571428567
533,0.16,20000,0.18571428571428567
534,0.98,20000,0.18571428571428567
535,0.03,20200,0.18571428571428567
536,0.05,20200,0.18571428571428567
537,0.11,20200,0.18571428571428567
538,0.58,20200,0.18571428571428567
539,1.05,20400,0.18571428571428567
540,0.08,20600,0.18571428571428567
541,0.15,20600,0.18571428571428567
542,0.88,20600,0.18571428571428567
543,0.04,20800,0.18571428571428567
544,0.55,21000,0.18571428571428567
545,0.64,21000,0.18571428571428567
546,0.36,21200,0.18571428571428567
547,0.48,21200,0.18571428571428567
548,0.55,21200,0.18571428571428567
549,0.03,21400,0.18571428571428567
550,0.06,21400,0.18571428571428567
551,0.09,21400,0.18571428571428567
552,0.06,21600,0.18571428571428567
553,0.38,21600,0.18571428571428567
554,1.25,21600,0.18571428571428567
555,0.05,21800,0.18571428571428567
556,0.07,21800,0.18571428571428567
557,0.58,21800,0.18571428571428567
558,0.67,21800,0.18571428571428567
559,0.03,22000,0.18571428571428567
560,0.05,22000,0.18571428571428567
561,0.87,22000,0.18571428571428567
562,0.92,22000,0.18571428571428567
563,0.03,22400,0.18571428571428567
564,0.25,22400,0.18571428571428567
565,0.59,22400,0.18571428571428567
566,0.96,22400,0.18571428571428567
567,0.02,22600,0.18571428571428567
568,0.07,22600,0.18571428571428567
569,0.05,22800,0.18571428571428567
570,0.75,22800,0.18571428571428567
571,1.15,22800,0.18571428571428567
572,0.04,23000,0.18571428571428567
573,0.2,23200,0.18571428571428567
574,0.74,23200,0.18571428571428567
575,0.07,23400,0.18571428571428567
576,0.61,23400,0.18571428571428567
577,0.82,23400,0.18571428571428567
578,0.03,23600,0.18571428571428567
579,0.03,23800,0.18571428571428567
580,0.29,23800,0.18571428571428567
581,0.82,23800,0.18571428571428567
582,0.86,24000,0.18571428571428567
583,0.04,24200,0.18571428571428567
584,0.03,24600,0.18571428571428567
585,0.05,24600,0.18571428571428567
586,0.24,24600,0.18571428571428567
587,0.03,24800,0.18571428571428567
588,0.04,24800,0.18571428571428567
589,0.9,24800,0.18571428571428567
590,0.3,200,0.1857142857142857
591,0.54,200,0.1857142857142857
592,0.45,400,0.1857142857142857
593,0.34,600,0.1857142857142857
594,0.23,800,0.1857142857142857
595,0.19,1000,0.1857142857142857
596,0.29,1000,0.1857142857142857
597,1.17,1200,0.1857142857142857
598,0.11,1400,0.1857142857142857
599,0.13,1400,0.1857142857142857
600,0.16,1600,0.1857142857142857
601,1.18,1600,0.1857142857142857
602,0.24,1800,0.1857142857142857
603,0.15,2000,0.1857142857142857
604,0.17,2000,0.1857142857142857
605,0.19,2200,0.1857142857142857
606,1.15,2200,0.1857142857142857
607,0.29,2400,0.1857142857142857
608,0.08,2600,0.1857142857142857
609,0.58,2600,0.1857142857142857
610,0.08,2800,0.1857142857142857
611,0.26,2800,0.1857142857142857
612,1.48,2800,0.1857142857142857
613,0.27,3200,0.1857142857142857
614,0.56,3200,0.1857142857142857
615,0.11,3400,0.1857142857142857
616,0.12,3400,0.1857142857142857
617,0.11,3600,0.1857142857142857
618,0.33,3600,0.1857142857142857
619,0.58,3600,0.1857142857142857
620,0.81,3600,0.1857142857142857
621,1.05,3600,0.1857142857142857
622,0.7,4200,0.1857142857142857
623,0.1,4600,0.1857142857142857
624,0.76,4600,0.1857142857142857
625,0.8,4600,0.1857142857142857
626,1.43,4600,0.1857142857142857
627,0.06,4800,0.1857142857142857
628,0.11,4800,0.1857142857142857
629,0.87,4800,0.1857142857142857
630,0.9,4800,0.1857142857142857
631,0.09,5600,0.1857142857142857
632,0.07,6000,0.1857142857142857
633,0.46,6000,0.1857142857142857
634,0.67,6000,0.1857142857142857
635,0.67,6600,0.1857142857142857
636,0.04,6800,0.1857142857142857
637,1.1,6800,0.1857142857142857
638,0.09,7000,0.1857142857142857
639,1.15,7000,0.1857142857142857
640,0.07,7200,0.1857142857142857
641,0.9,7200,0.1857142857142857
642,0.07,7400,0.1857142857142857
643,0.31,7400,0.1857142857142857
644,1.38,7800,0.1857142857142857
645,1.05,8000,0.1857142857142857
646,0.21,8400,0.1857142857142857
647,0.05,9600,0.1857142857142857
648,1.39,9600,0.1857142857142857
649,0.44,9800,0.1857142857142857
650,0.98,9800,0.1857142857142857
651,1.15,10200,0.1857142857142857
652,0.13,10400,0.1857142857142857
653,1.17,11000,0.1857142857142857
654,0.69,11200,0.1857142857142857
655,0.04,11600,0.1857142857142857
656,0.66,11800,0.1857142857142857
657,1.38,12200,0.1857142857142857
658,1.0,12400,0.1857142857142857
659,0.07,12600,0.1857142857142857
660,0.83,12600,0.1857142857142857
661,0.11,13400,0.1857142857142857
662,0.61,13400,0.1857142857142857
663,0.53,13600,0.1857142857142857
664,1.2,13600,0.1857142857142857
665,0.11,13800,0.1857142857142857
666,1.38,14000,0.1857142857142857
667,0.06,14200,0.1857142857142857
668,1.09,14400,0.1857142857142857
669,0.79,14600,0.1857142857142857
670,0.03,14800,0.1857142857142857
671,0.05,15000,0.1857142857142857
672,0.49,15000,0.1857142857142857
673,1.32,15000,0.1857142857142857
674,0.6,16000,0.1857142857142857
675,0.88,16000,0.1857142857142857
676,0.39,16200,0.1857142857142857
677,0.79,16200,0.1857142857142857
678,0.03,16600,0.1857142857142857
679,0.05,16600,0.1857142857142857
680,1.05,16600,0.1857142857142857
681,0.05,16800,0.1857142857142857
682,0.06,17200,0.1857142857142857
683,0.52,17600,0.1857142857142857
684,0.53,18000,0.1857142857142857
685,0.73,18200,0.1857142857142857
686,0.04,18400,0.1857142857142857
687,0.25,18400,0.1857142857142857
688,0.05,18600,0.1857142857142857
689,0.07,18600,0.1857142857142857
690,0.61,18600,0.1857142857142857
691,1.09,18600,0.1857142857142857
692,0.31,18800,0.1857142857142857
693,0.32,18800,0.1857142857142857
694,0.05,19200,0.1857142857142857
695,0.4,19400,0.1857142857142857
696,0.19,19800,0.1857142857142857
697,0.02,20400,0.1857142857142857
698,0.04,20400,0.1857142857142857
699,0.04,20600,0.1857142857142857
700,0.95,20600,0.1857142857142857
701,0.1,20800,0.1857142857142857
702,0.72,21200,0.1857142857142857
703,1.12,21600,0.1857142857142857
704,0.77,22000,0.1857142857142857
705,0.2,22200,0.1857142857142857
706,0.42,22200,0.1857142857142857
707,0.97,22400,0.1857142857142857
708,0.96,22600,0.1857142857142857
709,0.06,23400,0.1857142857142857
